Entry	yourlist:M20200101216DA2B77BFBD2E6699CA9B6D1C41EB26D9AB2D
P31641	112424
P48029	112426
P48067	112427
P48065	112430
Q9NSD5	112431
P30825	112432
P52569	112433
Q9UPR5	112434
P32418	112436
P57103	112437
P19634	112438
Q9UBY0	112439
P48764	112440
Q14940	112442
Q14973	112443
Q12908	112444
P55011	112447
P55017	112448
Q9UP95	112449
P46059	112452
P53985	112454
P36021	112455
Q14916	112456
Q06495	112457
P54219	112458
Q05940	112459
Q16572	112460
P41440	112461
Q8WUM9	112462
Q08357	112463
P53007	112464
O15245	112467
O75751	112468
O15244	112469
Q9H015	112470
O76082	112471
O75093	112472
O75094	112473
O00631	112474
P03973	112475
O43623	112476
P28370	112478
P51531	112479
Q14527	112480
P51532	112481
Q12824	112482
Q92922	112483
Q8TAQ2	112485
Q96GM5	112486
Q92925	112487
Q6STE5	112488
Q969G3	112489
Q16637	112490,112491
Q99835	112492
P17405	112493
O60906	112494
P52788	112495
P55854	112496
P61956	112497
O95863	112499
P60880	112500
Q16533	112501
Q13487	112502
Q92966	112503
Q16143	112504
Q5SXM2	112505
P37840	112506
O76070	112507
Q16658	112508
P08621	112509
P09012	112510
P09661	112511
P14678	112512
P08579	112513
P09234	112515
P62314	112516
P62316	112517
P62318	112518
P62304	112519
P62306	112520
P62308	112521
P63162	112522
Q13424	112523
Q13884	112524
Q13596	112525
O60749	112526
Q13425	112528
P35610	112529
P00441	112530
P04179	112531
P08294	112532
O75808	112533
P18583	112534
Q00796	112535
Q92673	112536
Q07889	112537
Q07890	112538
O00570	112539
P48431	112540
P41225	112541
Q06945	112542
P35711	112543
P48436	112545
P56693	112546
P35716	112547
O60248	112548
O15370	112549
P08047	112550
Q02086	112551
Q02447	112553
Q02446	112554
P23497	112555
Q07617	112556
Q16222	112557
Q9NPE6	112558
P09486	112560
Q9UBP0	112562
Q9UQ90	112565
P17947	112566
Q01892	112567
P00995	112568
P20155	112569
O43278	112570
P16150	112571
Q08629	112573
P10451	112574
P35270	112575
P35321	112576
P22528	112577
P35326	112578
P35325	112579
P22532	112581
P22531	112582
Q9BYE4	112584
Q9UBC9	112585
P02549	112586
Q13813	112587
P11277	112588
Q01082	112589
O15020	112590
Q14534	112591
P12931	112592
P18405	112593
P30626	112595
P51857	112596
P36956	112598
Q12772	112599
P11831	112600
P19623	112601
Q9H3Y6	112603
P49458	112604
P37108	112605
P09132	112606
P61011	112607
Q9UHB9	112608
O76094	112609
Q96SB4	112610
P78362	112611
P08240	112612
Q05066	112614
P19474	112615
P10155	112616
P05455	112619
Q04837	112620
P28290	112622
P43307	112623
P43308	112624
Q9UNL2	112625
P51571	112626
Q08945	112627
P61278	112628
P30872	112629
P30874	112630
P32745	112631
P31391	112632
P35346	112633
Q16384	112634
O60225	112636
O60224	112637
Q15532	112638
P78524	112642
P50502	112644
Q9Y5Y6	112645
Q99469	112646
P49675	112647
P42224	112649
P52630	112650
P40763	112651
Q14765	112652
P42229	112653
P51692	112654
P42226	112655
P02808	112656
O95793	112657
P48723	112659
P49888	112660
Q9GZR5	112661
Q13586	112662
P51957	112663
Q13188	112664
Q13043	112665
O14965	112666
O76039	112668
O94804	112669
Q15831	112670
Q9UQB9	112671
P50226	112673
O43815	112674
Q16623	112676
Q13277	112678
Q12846	112679
Q13190	112680
P61764	112681
Q15833	112682
O00186	112683
Q8WUJ0	112684
P50225	112686
O00338	112688
O00204	112689
P51687	112690
Q06520	112691
P63272	112695
O00267	112697
Q7KZ85	112698
Q8IYB8	112699
Q09428	112700
Q15526	112701
Q15527	112702
O15260	112703
Q15528	112704
O75683	112705
O43463	112706
O95425	112707
P23763	112710
P63027	112711
P51809	112712
Q9UBD3	112713
Q15431	112714
P43405	112717
P17600	112719
Q92777	112720
P08247	112721
Q16563	112722
P21579	112723
Q9H2B2	112724
O00445	112725
P20366	112727
P21452	112728
Q9UHF0	112729
O75410	112730
P78536	112731
P25103	112732
P29371	112733
O75478	112734
P21675	112735
Q6P1X5	112736
O00268	112737
Q92750	112738
Q01995	112739
Q15542	112740
P49848	112741
Q15545	112742
Q16594	112743
Q12962	112744
Q15544	112745
Q16514	112746
Q15543	112747
O43318	112748
P17542	112749
Q16559	112750
P37837	112751
Q03518	112753
Q03519	112754
O15533	112755
Q13395	112757
Q15633	112758
P26639	112760
P17735	112761
O43435	112762
Q02246	112763
Q16635	112764
O75347	112765
Q15814	112766
Q9BTW9	112767
Q15813	112768
P05543	112769
O60907	112770
P20226	112771
Q13207	112772
Q99593	112773
O95947	112774
Q96SF7	112775
P21731	112777
P24557	112778
P23193	112779
Q15560	112781
O75764	112782
Q15369	112783
Q15370	112785
Q14241	112786
P15884	112787
O15119	112788
P20823	112789
P35680	112790
P15923	112791
P36402	112794
Q9NQB0	112795
P37275	112796
P16383	112797
Q99081	112798
Q12870	112799
O60765	112800
Q9Y242	112801
Q9UGU0	112802
O43680	112803
Q15906	112804
Q9UH92	112805
P20061	112807
P20062	112808
Q13428	112809
P17987	112810
Q12799	112813
Q8WWU5	112814
P57738	112848
P51808	112850
O60927	112852
P63172	112853
Q13569	112855
P13385	112856
P48775	112858
P32119	112860
P28347	112862
Q15561	112863
Q99594	112864
P42680	112865
O75443	112866
Q10587	112867
P55061	112868
Q02763	112869
Q99973	112870
P54274	112872
Q15554	112873
O14746	112874
Q15569	112875
P02787	112876
Q00059	112877
P05549	112878
Q92481	112879
Q92754	112880
Q01664	112881
Q12800	112882
P10589	112883
P24468	112884
Q14186	112885
Q14188	112887
P19532	112888
P04155	112889
Q03403	112890
Q07654	112891
P10646	112893
Q9UP52	112894
P02786	112895
P01266	112896
P01135	112897
P01137	112898
O43294	112899
P61812	112900
P10600	112901
O00292	112902
Q15582	112903
P36897	112904
P49221	112905
P37173	112906
Q03167	112907
Q15583	112908
P22735	112909
P21980	112910
Q08188	112911
P07101	112912
P07204	112914
P07996	112915
P35442	112916
P49746	112917
P35443	112918
Q07283	112919
P52888	112921
P40225	112922
P10827	112923
P10828	112924
Q92748	112925
P04216	112926
Q13118	112927
P31483	112928
Q01085	112929
Q13009	112930
P35590	112931
P01033	112932
P16035	112933
P35625	112934
Q99727	112935
P43699	112936
Q07157	112937
P04183	112938
O00142	112939
P29401	112941
Q9UMF0	112942
Q04724	112943
Q04725	112944
Q04726	112945
Q04727	112946
O43897	112947
Q9Y6L7	112948
Q9Y490	112949
Q99442	112950
Q15399	112951
O60603	112952
O15455	112953
O00206	112954
O60602	112955
Q9Y466	112956
P41732	112957
P48230	112959
O43657	112960
O14817	112961
O60478	112962
O76062	112963
P48553	112964
P82094	112965
P28289	112966
P42166	112967
P42167	112967
O15393	112968
P62328	112969
O00501	112977
P05452	112978
P01375	112979
P02585	112980
Q13829	112981
Q03169	112982
P21580	112983
P98066	112984
P19438	112986
P20333	112987
P63316	112988
P19237	112989
P48788	112990
P19429	112991
P13805	112992
P45379	112993
P45378	112994
P09430	112995
Q05952	112996
Q92752	112997
Q9HBL0	112999
P22105	113001
P11387	113003
P11388	113006
Q02880	113008
Q13472	113009
P04637	113010
Q12888	113011
Q13625	113012
O15350	113014
Q13641	113015
P55327	113016
Q16890	113017
O43399	113018
P17752	113019
P60174	113020
P09493	113021
P07951	113022
P06753	113023
P67936	113024
P51580	113025
P29144	113027
P12270	113028
Q15661	113029
P13693	113030
P56180	113031
P16562	113032
P13056	113033
P49116	113034
P14625	113036
Q13077	113037
Q12933	113038
Q13114	113039
O00463	113040
Q9Y4K3	113041
P34981	113052
P49368	113054
O75962	113055
Q15654	113056
Q12816	113067
P48995	113071
Q13507	113073
Q9UBN4	113074
Q9UL62	113075
Q9Y210	113076
O94759	113077
Q9UHF7	113078
Q15631	113098
Q92574	113099
P49815	113100
Q99816	113102
P01222	113103
P16473	113104
Q99598	113108
Q01534	113109
Q9H0U9	113110
Q53HC9	113111
Q53GA4	113113
Q16762	113114
Q13630	113115
Q99614	113116
Q99615	113117
P53804	113118
O95801	113119
Q15361	113121
P33981	113123
Q8WZ42	113124
P49638	113125
P50607	113126
P02766	113127
P68366	113128
Q13885	113131
P23258	113134
P49411	113135
Q9NNX1	113137
O00294	113138
O00295	113139
O75386	113140
P54198	113141
Q15672	113142
P43489	113144
P42681	113145
P10599	113146
Q16881	113147
P29597	113148
P04818	113149
P14679	113150
Q06418	113152
O43914	113155
P17643	113156
P62987	113159
P0CG47	113162
P0CG48	113164
P22314	113165
P41226	113166
P49459	113167
P63146	113168
P51668	113169
P62837	113170
P61077	113171
P51965	113172
Q96LR5	113173
P62253	113174
P60604	113175
P62256	113176
P63279	113177
P68036	113180
P61088	113182
Q15819	113184
Q05086	113185
P63165	113188
Q9NZI7	113189
P17480	113190
P09936	113192
P15374	113194
O75841	113195
P55089	113196
P25874	113197
P55851	113198
P55916	113199
Q92890	113200
P78381	113202
P11684	113203
Q16739	113204
O60701	113205
Q16851	113207
P06133	113210
P16662	113211
P36537	113212
P54855	113213
Q16880	113215
P07911	113216
Q9BZX2	113217
P11172	113218
Q05707	113219
P13051	113220
Q13107	113221
P55055	113222
Q16831	113224
O00526	113225
O75631	113226
P14927	113227
P31930	113230
P22695	113231
P47985	113232
P07919	113234
P06132	113235
P10746	113236
P22415	113237
Q15853	113238
O94782	113241
O75445	113242
P46939	113245
O15550	113246
O14607	113247
Q9P2Y5	113248
P26640	113250
P50552	113251
P15498	113252
P52735	113253
P61758	113254
P19320	113255
P18206	113257
P55072	113258
P21796	113259
P45880	113260
Q9Y277	113262
P11473	113264
P15692	113265
P49765	113266
P49767	113267
O15240	113268
P40337	113269
P09327	113270
P15311	113271
P08670	113272
P01282	113273
P32241	113274
P41587	113275
P98155	113277
O76090	113279
P12018	113280
Q8NER1	113281
Q99986	113282
Q86Y07	113283
P62760	113286
P04004	113287
P04275	113289
P23381	113292
P42768	113293
Q9Y493	113294
O43516	113295
Q15056	113297
Q9UDT6	113300
Q9GZY6	113301
Q92828	113302
P30291	113303
O76024	113304
O96028	113306
Q9H3P2	113307
P04628	113308
P09544	113309
P56703	113310
P41221	113311
Q9Y6F9	113312
O00755	113313
P56706	113314
Q9H1J5	113315
O00744	113317
O96014	113318
Q93097	113319
O14905	113321
O00258	113322
Q14191	113323
P19544	113327
P17861	113331
P47989	113335
P51811	113341
P23025	113344
Q01831	113345
Q9NQW7	113346
O14980	113348
P18887	113349
O43543	113350
O43542	113351
Q13426	113352
P13010	113353
P07947	113357
P25490	113360
P31946	113361
P62258	113363
P61981	113364
Q04917	113365
P63104	113366
P43403	113367
Q15637	113368
P26651	113370
Q9Y6Q3	113371
O43829	113373
O95159	113374
P17010	113375
P08048	113376
Q15915	113377
O95409	113378
O60481	113379
Q9BSG1	113381
P17036	113383
Q9Y462	113384
P17097	113385
P17098	113386
P62633	113387
P21506	113388
P17014	113391
P17017	113393
P17019	113394
P17020	113395
P17021	113396
P17022	113397
P17023	113398
P17024	113399
P17025	113400
P17026	113401
P17027	113402
P17028	113403
P17031	113404
P17035	113406
P17040	113408
P17041	113409
Q06730	113410
Q06732	113411
P13682	113412
P17029	113414
Q9Y5A6	113416
P51814	113418
P28698	113419
Q02386	113421
P24278	113422
Q9UC07	113440
Q9UC06	113441
Q16587	113444
Q96N20	113446
P36508	113448
Q15937	113451
P51504	113452
P51523	113453
Q9UK13	113454
Q03923	113455
Q03938	113459
Q05481	113460
A8MXY4	113467
P58317	113474
Q15973	113476
Q13064	113479
P52739	113485
P52736	113487
P52742	113489
P52737	113490
P52744	113492
P52738	113493
P52746	113495
P52747	113496
P35227	113497
Q05516	113498
Q15072	113499
Q14258	113500
Q9UQR1	113501
Q13105	113503
Q12901	113505
P51786	113506
Q14119	113509
P49910	113511
Q12899	113515
Q15697	113516
Q9Y473	113517
Q13360	113519
Q9ULX5	113520
Q9UJW8	113521
O15541	113523
Q99676	113524
O15231	113525
Q16670	113526
O75820	113528
Q15776	113529
O15535	113530
O14628	113532
Q9UBW7	113534
P98182	113536
O95125	113537
O95201	113539
O43670	113540
O14771	113543
Q9UL59	113544
Q9UL58	113545
O76080	113546
O75362	113547
Q9UK11	113549
Q9NZL3	113550
Q9UK10	113551
Q9NYT6	113552
Q86WZ6	113553
Q9UJU3	113554
Q9UIE0	113556
Q9UNY5	113557
Q9UL36	113558
Q9Y6M5	113560
Q9BRI3	113561
Q99726	113562
O14863	113563
P21754	113565
Q12852	113566
P98168	113568
Q15942	113569
Q86V48	113574
Q13029	113575
O14645	113577
Q93096	113578
Q14114	113579
Q13571	113580
Q8WZ55	113582
O75534	113583
O60447	113584
P51398	113587
Q9NP85	113590
P78543	113593
Q92626	113596
Q8TCU4	113598
Q13724	113599
O00237	113601
Q71U36	113603
Q06710	113604
P27930	113605
Q13021	113606
P61073	113607
Q13467	113609
P13521	113611
P55201	113614
Q12894	113616
Q16644	113617
Q13214	113618
Q14BN4	113620
P55145	113621
Q93009	113622
P51149	113624
Q14722	113626
Q14493	113627
Q92187	113636
Q00765	113637
P35659	113643
P51649	113645
P48634	113646
P46379	113647
O95872	113648
Q13838	113649
O95870	113650
Q92504	113652
Q92506	113653
P18615	113662
Q13093	113667
P19484	113668
O95278	113679
Q13155	113684
O60675	113688
Q9NPG1	113689
Q99551	113691
P60896	113692
P48307	113693
Q9NRC1	113695
Q12774	113696
Q9UDV6	113698
Q13454	113701
O00124	113702
Q92794	113703
O75311	113705
Q92570	113713
Q15059	113715
P35658	113717
Q9UBR4	113718
Q92783	113722
P55197	113723
O60494	113724
Q16204	113725
Q13772	113726
P16260	113727
Q9UQ13	113729
O43184	113731
Q02833	113735
P50461	113736
O00330	113737
P15407	113742
Q93034	113743
Q12974	113747
Q9GZV9	113748
P45974	113751
Q15773	113752
Q14714	113755
O14686	113758
Q9NRG9	113759
P51114	113760
O95619	113761
P52926	113763
Q15699	113764
O14519	113770
Q13099	113771
Q86U42	113777
Q92784	113779
P56279	113783
Q13367	113788
P39687	113791
Q12980	113796
Q9H2C0	113800
Q01650	113801
Q92804	113807
P52198	113810
P38432	113815
Q92667	113818
Q15849	113822
Q13477	113825
Q15428	113826
P55199	113828
Q16600	113831
Q92797	113833
Q16674	113834
Q16740	113835
Q92782	113836
Q9NPJ1	113837
P43026	113839
Q9Y6Q9	113841
P48552	113843
Q13112	113846
Q14129	113850
Q8N653	113852
P53675	113854
Q96DF8	113855
O14994	113857
O43824	113858
Q08623	113859
Q02040	113860
P41247	113861
Q15696	113865
P51784	113866
Q93008	113867
P98175	113869
P41229	113870
Q14683	113871
P41227	113881
P23610	113884
P11441	113885
Q14657	113888
P09131	113889
P51854	113890
Q9BY66	113891
O00507	113892
P11678	113893
O14497	113894
Q16695	113895
O75923	113896
Q9Y215	113897
O75920	113898
Q9Y4A5	113900
Q13492	113902
O75324	113904
Q99424	113906
O15254	113907
O15169	113909
Q9Y2T1	113910
Q92560	113911
Q7Z569	113912
O00311	113914
O75419	113915
O95936	113916
Q9UP38	113917
Q9ULV1	113918
O60353	113919
O75084	113920
Q9H461	113921
O00144	113922
Q5VTD9	113924
Q99878	113927
Q93077	113930
P04908	109266,113931
Q16777	113934
Q99880	113936
Q99877	113937
Q99879	113938
Q93079	113941
P62807	109270,113935,113939,113940,113942,113943
P23527	113944
Q16778	113945
Q99525	113965
O43820	113967
Q9Y6D9	113971
P56597	113972
P47887	113978
Q99755	113983
O14986	113984
P78356	113985
O60733	113986
O15496	113987
Q02978	113990
O95416	113991
Q14515	113992
O43791	113993
P78539	113994
P37802	113995
O75385	113996
Q9UBK9	113997
Q15075	113999
O75815	114000
O76027	114002
O15400	114003
Q13515	114005
O75936	114008
Q8N2S1	114009
Q9UDV7	114010
Q9Y6E0	114011
Q15466	114012
Q5T230	114013
O95980	114014
O75908	114015
O95810	114016
Q92698	114018
Q92636	114019
O43639	114020
O15228	114021
O43781	114022
Q92630	114023
O75319	114024
Q14184	114025
Q14183	114026
O60231	114027
Q13620	114028
Q13619	114029
Q13618	114030
Q13617	114031
Q13616	114032
O75882	114033
O15353	114034
Q9UNY4	114036
O60704	114037
O60507	114038
O14901	114040
Q15562	114041
O75486	114042
O60264	114045
O75344	114046
O94875	114047
O14654	114048
O15294	114049
Q5VT25	114051
Q9BW71	114053
P78406	114054
O75665	114055
O75326	114056
O75339	114057
O60755	114058
O14893	114059
O15539	114062
Q8IVH8	114063
P56730	114064
O15297	114065
Q8ND30	114067
Q86W92	114068
O75335	114069
Q9H6Z4	114070
O75334	114071
Q13136	114072
O75387	114073
Q99569	114074
Q92569	114075
P56589	114076
Q86W56	114077
P78357	114078
O14682	114079
Q9BPW8	114080
P52849	114081
O75900	114082
P07098	114085
Q13303	114086
O75578	114087
P53708	114088
Q9Y6K9	114089
O95163	114090
P13164	114091
O14929	114092
Q9NP62	114093
O60861	114094
Q13574	114095
P52429	114096
Q16760	114097
Q99489	114098
P78329	114099
O76096	114100
P16989	114101
Q66K79	114102
Q9UNS2	114103
O43916	114104
O00257	114105
Q14012	114106
O75363	114107
Q9BZZ5	114109
O00116	114110
O75145	114111
O14791	114112
P61968	114113
O00625	114114
Q9UFW8	114115
O00203	114116
Q9H2G9	114118
O75473	114119
Q8IW41	114120
O14503	114123
O75925	114124
O60729	114125
Q9UNH5	114126
O15273	114127
Q15131	114128
Q99633	114129
O15121	114130
O43583	114131
Q13769	114132
O15229	114133
P54577	114134
O00764	114135
Q8WXG6	114136
P56182	114137
Q9BUB5	114138
Q92945	114139
P50479	114140
O14936	114141
O43488	114142
O75569	114143
O75716	114144
Q8IYR6	114145
Q14210	114148
O14788	114160
O76081	114161
P78316	114162
P78312	114163
O75746	114164
Q9UP65	114165
Q9Y265	114166
O75452	114167
O75840	114168
O14494	114169
O43688	114170
O14495	114171
O76061	114172
O60763	114173
Q9ULU8	114174
O15130	114175
Q14004	114176
O95263	114177
O95671	114178
O95456	114179
O14593	114180
Q9H3D4	114181
O14756	114183
Q86WV1	114184
O95185	114186
O00442	114187
O00584	114188
O43805	114189
O60516	114190
Q15646	114191
Q16853	114192
Q9UN71	114193
Q96JQ0	114194
Q9Y6C5	114195
P42330	114196
O95279	114197
Q9H2X0	114198
O95342	114199
Q15788	114200
Q9UHA4	114201
P49757	114202
O15524	114203
O15523	114204
O76074	114205
P63167	114206
O95271	114207
P30038	114208
Q9Y4H2	114209
Q14152	114210
P55884	114211
Q99613	114212
O15371	114213
O00303	114214
O75821	114215
O15372	114216
Q13347	114217
O75822	114218
Q9Y6R1	114219
O43432	114220
Q9BV40	114221
O75379	114222
O14662	114223
O75558	114224
O60499	114225
Q14457	114226
Q15121	114230
Q13242	114231
Q9UEW3	114232
O76015	114234
O76014	114235
O76013	114236
Q9Y4A0	114237
Q12891	114239
O75907	114241
Q9UJX2	114242
O95977	114243
Q96DT5	114244
O60513	114245
O60512	114246
O60909	114247
O96024	114248
O75752	114249
O43825	114250
Q9Y5Z6	114251
O75635	114252
Q13470	114253
O75459	114254
O15438	114255
O94818	114256
Q15628	114257
Q93038	114258
Q14703	114259
O60869	114260
Q9UBX1	114261
O95219	114262
O60493	114263
O94763	114264
O75530	114265
Q9UBT7	114266
Q9H013	114267
Q92538	114268
O43148	114269
O60942	114270
O43292	114271
Q9UKX3	114272
P52179	114273
Q13546	114274
P78560	114275
O00198	114276
O43557	114277
O75888	114278
O43508	114279
P50591	114280
P41273	114281
O75077	114282
Q9UKJ8	114283
O43506	114284
Q13444	114287
Q13443	114290
O95674	114295
Q13310	114296
Q04900	114297
Q92956	114298
P62491	114299
O43353	114300
O95407	114301
Q13158	114302
O00161	114303
Q99747	114304
P54920	114305
Q13613	114306
O75970	114307
O15389	114308
O14730	114309
Q9Y5U5	114312
O95460	114313
O94810	114314
O75916	114315
P80370	114316
O00757	114317
Q9Y6Q6	114320
Q9UBN6	114321
O14798	114322
O14763	114323
O95171	114324
O00220	114325
Q9NR20	114326
O96011	114327
O75192	114328
Q96I99	114329
P53597	114330
Q9P2R7	114331
O75629	114332
O15164	114333
O95256	114335
Q9HB29	114336
Q13478	114337
O75909	114339
O60762	114340
Q00532	114341
O75531	114342
Q96JK2	114343
O76093	114344
O94777	114345
O75446	114346
Q9UBX0	114347
O15327	114348
O60258	114349
O43320	114350
O00748	114351
O14910	114352
P46940	114353
O60462	114355
O14786	114356
Q96PV0	114358
Q9UIB8	114359
P49915	114360
P17152	114361
O14508	114362
Q92820	114363
O15519	114364
O95389	114365
O76076	114366
O95388	114367
O15379	114368
O43490	114369
Q8IVT5	114371
Q13686	114372
Q15714	114374
Q92831	114375
Q15078	114376
Q5JQC9	114377
O43150	114378
O94788	114379
O75469	114380
Q9Y6R7	114381
P22891	114382
P49842	114383
Q86U70	114384
Q9ULZ1	114385
P56645	114386
O15055	114387
O43426	114388
Q9UNP4	114389
P46695	114390
O15056	114391
O75794	114392
Q14155	114393
O95498	114394
Q9NYA1	114396
Q13501	114397
O95470	114398
Q96AE4	114399
Q13042	114400
O75312	114401
Q13564	114402
Q9Y289	114403
Q9NVP1	114404
Q86VP1	114405
O60318	114406
Q9UI10	114407
Q9NR50	114408
P49770	114409
Q13144	114410
P20042	114411
O75131	114412
P41223	114413
Q13615	114414
Q13614	114415
Q13523	114416
P78396	114417
Q99829	114418
P56377	114419
O75843	114420
Q9BXS5	114421
O15488	114422
P21128	114423
O43556	114424
Q9P0X4	114425
O95180	114426
O43497	114427
Q9UNS1	114428
O95999	114429
Q15034	114430
O95714	114438
Q15751	114439
Q9Y675	114440
Q9UPA5	114441
O75593	114442
Q99453	114443
O95243	114444
Q9UBB5	114445
A6ZKI3	114446
O14966	114447
O75563	114448
Q92558	114449
O94812	114450
Q96I24	114451
O95985	114452
Q13319	114453
Q16719	114454
O14617	114455
Q9Y297	114457
P68431	113946,113947,113948,113949,113950,113951,113952,113953,113954,114458
P0C0S8	113925,113926,113928,113932,114459
P06899	114460
Q92522	114461
O43451	114462
Q15825	114463
O15460	114464
Q92995	114465
O00401	114466
O60568	114467
O75676	114468
O95210	114469
Q12988	114470
O75762	114471
Q13228	114472
O15342	114473
O75594	114474
Q9UGP4	114475
O60936	114477
O60229	114478
Q92772	114479
P54257	114480
Q96RI0	114481
Q15572	114482
Q53T94	114483
Q15573	114484
O95258	114485
O95297	114486
Q99558	114487
O14543	114488
O95833	114489
Q8IWQ3	114491
O76064	114492
O75146	114493
Q9UHE5	114494
O75783	114495
Q9UIG0	114497
Q9P0L9	114499
O00421	114500
Q8TBC4	114503
P61081	114504
O60271	114505
O14981	114506
P50914	114507
O60496	114508
Q9NP31	114509
Q5T4W7	114510
O00170	114511
Q9H939	114512
O43586	114513
Q8NFJ5	114514
Q14244	114515
Q9Y697	114516
O43663	114517
Q9UM01	114518
Q92536	114519
Q13183	114520
O95340	114521
O43252	114522
O75928	114523
O95382	114524
O43581	114525
P56749	114527
Q9UBL3	114528
P78369	114529
P56748	114530
P56747	114531
P57739	114532
O95832	114533
O95661	114534
O43679	114535
A2RUG3	114538
O14609	114538
O14599	114539
O14602	114542
O14604	114543
Q99640	114544
Q9BRB3	114545
O43290	114546
Q96EY1	114547
Q13432	114548
P54578	114551
P35125	114552
O75604	114553
Q14694	114554
P40818	114555
P31995	114556
Q15493	114557
Q9Y217	114558
Q9Y216	114559
Q9NYA4	114560
Q13287	114561
Q13330	114562
O95835	114563
P61421	114564
Q9BRL7	114565
Q16352	114566
O95678	114567
O15403	114568
O15375	114569
O15374	114570
O15427	114571
O00151	114572
Q92600	114573
Q9UQE7	114574
O15547	114575
O43172	114576
O43395	114577
Q14320	114578
O95831	114579
P56696	114580
O95067	114581
O96020	114582
Q15276	114583
O43818	114584
Q92888	114585
O43439	114586
O94817	114587
O14737	114588
O43761	114590
O43760	114591
O43759	114592
O14964	114593
O76050	114595
Q9Y463	114596
Q9Y5B0	114597
Q9Y345	114599
Q9UQ84	114602
O43427	114603
Q16549	114604
O75912	114605
O00559	114607
O14548	114608
P63313	114609
Q99590	114610
Q9HBW0	114611
P54296	114612
Q01638	114613
O43283	114614
O00189	114616
Q99650	114617
Q92974	114618
O75901	114619
O43264	114620
O43684	114621
Q8NFH8	114622
O60721	114624
Q9NR30	114625
O96006	114626
O75618	114627
O60669	114629
O43448	114631
O00400	114632
B0YJ81	114634
O15075	114635
Q5VZL5	114636
Q14202	114637
O95789	114638
Q9UJ78	114639
Q32MZ4	114642
Q9Y608	114643
O95972	114644
O95970	114645
Q96GD4	114646
Q9UBH6	114647
O60667	114648
O95461	114649
O95292	114650
Q9P0L0	114651
O94776	114652
O95411	114653
Q14978	114654
Q96QZ7	114655
O95237	114658
Q9P1A6	114659
O14490	114660
Q15907	114661
Q8TDM6	114662
O95997	114663
P24001	114664
Q9ULG6	114665
Q969Z0	114666
Q8ND90	114667
Q13253	114668
O60682	114669
O75462	114670
O95395	114671
O14933	114672
O75603	114673
Q13585	114674
O75911	114675
O75582	114676
Q9Y6R0	114677
Q9NY47	114678
Q12904	114679
O95153	114680
Q9Y4C4	114681
Q9NR12	114682
P49137	114683
O94768	114684
Q9UEE5	114685
O43739	114686
Q99418	114687
Q15438	114688
O14713	114689
Q96J94	114690
Q8WUZ0	114691
Q9BQE9	114692
P35606	114693
O15213	114694
O15209	114695
O60244	114699
Q9UND3	114701
Q9P1P5	114702
Q9Y653	114704
Q9Y2T6	114705
Q9Y2T5	114707
O95136	114708
Q05519	114709
Q16864	114710
O14544	114719
Q01151	114721
Q14590	114722
Q9UHC3	114723
Q92953	114724
O43474	114726
Q16612	114727
Q96BW5	114728
P61201	114729
Q15645	114730
Q14669	114731
Q15643	114732
Q15642	114733
Q15651	114734
Q15650	114735
Q15649	114736
Q9Y5Q8	114737
Q9UKN8	114738
Q9Y5Q9	114739
Q9UBX8	114740
Q86VB7	114741
O43548	114742
O43286	114743
Q9UFF9	114744
Q15170	114745
Q15836	114747
O95721	114748
Q15029	114749
Q9UL54	114750
O95803	114751
P62829	114752
O95813	114753
Q15599	114754
O43396	114755
O94813	114756
Q14139	114757
P50458	114758
Q4U2R8	114759
Q13427	114761
P36776	114762
O95741	114763
Q14088	114764
P51157	114765
Q9UEF7	114766
P51151	114768
O14745	114769
Q9HDB5	114770
Q9Y4C0	114770
Q15848	114771
O15066	114772
O95405	114773
Q9Y263	114774
Q9UMR5	114775
Q99805	114776
Q8TCC7	114777
P86452	1147772
P20674	114778
P58400	114779
Q9ULB1	114779
P58401	114780
Q9P2S2	114780
Q9UBQ7	114781
Q9HC10	114782
Q8WTW3	114783
Q9Y5X9	114788
Q9Y226	114790
O76071	114791
Q8WUH2	114792
O60243	114793
O60551	114794
Q93033	114795
Q9UBI4	114796
O94762	114797
O94761	114798
O75791	114799
O60613	114800
O60711	114801
O95218	114802
Q9Y5Y5	114804
Q96DI7	114805
Q52LW3	114806
Q13503	114807
Q15884	114808
Q9UDY2	114809
B9A064	1148096
O95864	114810
Q9BUQ8	114811
Q9P021	114812
O75881	114813
O96004	114814
O43296	114815
O95631	114816
P0CJ68	1148170
Q9Y232	114818
P0CJ75	1148186
O95672	114820
Q9UNQ0	114821
O95944	114827
O76036	114828
Q9ULK4	114829
Q9NVC6	114830
O95402	114831
Q6P2C8	114832
O43513	114833
Q96PU8	114834
Q9Y287	114835
P78417	114836
O14862	114837
O95819	114838
O95711	114839
Q9NZJ5	114840
O43736	114841
O95749	114842
Q9NSC5	114843
Q9NSB8	114844
Q86YM7	114845
Q5TD97	114846
Q15052	114847
Q9UJF2	114848
Q9NRD5	114849
P61296	114850
O43687	114851
Q9P0M2	114851
Q6UWB1	114852
O60239	114853
Q9Y5K3	114854
Q7LGC8	114855
O60573	114856
Q13023	114857
Q5TEJ8	114858
Q9H1Y0	114859
O75116	114860
O96009	114861
Q9H944	114862
Q9NZU7	114863
Q9UQF2	114864
O95948	114865
O95847	114866
Q9UNK0	114867
O43529	114868
Q9Y2B2	114869
