Entry	Entry name	Gene names
P42681	TXK_HUMAN	TXK PTK4 RLK
P42685	FRK_HUMAN	FRK PTK5 RAK
P42696	RBM34_HUMAN	RBM34 KIAA0117
P42701	I12R1_HUMAN	IL12RB1 IL12R IL12RB
P42704	LPPRC_HUMAN	LRPPRC LRP130
P42765	THIM_HUMAN	ACAA2
P42768	WASP_HUMAN	WAS IMD2
P42771	CDN2A_HUMAN	CDKN2A CDKN2 MTS1
P42772	CDN2B_HUMAN	CDKN2B MTS2
P42773	CDN2C_HUMAN	CDKN2C CDKN6
P42857	NSG1_HUMAN	NSG1 D4S234 NEEP21
P42858	HD_HUMAN	HTT HD IT15
P42892	ECE1_HUMAN	ECE1
P43005	EAA3_HUMAN	SLC1A1 EAAC1 EAAT3
P43007	SATT_HUMAN	SLC1A4 ASCT1 SATT
P43034	LIS1_HUMAN	PAFAH1B1 LIS1 MDCR MDS PAFAHA
P43088	PF2R_HUMAN	PTGFR
P43119	PI2R_HUMAN	PTGIR PRIPR
P43155	CACP_HUMAN	CRAT CAT1
P43235	CATK_HUMAN	CTSK CTSO CTSO2
P43246	MSH2_HUMAN	MSH2
P43268	ETV4_HUMAN	ETV4 E1AF PEA3
P43307	SSRA_HUMAN	SSR1 TRAPA PSEC0262
P43351	RAD52_HUMAN	RAD52
P43354	NR4A2_HUMAN	NR4A2 NOT NURR1 TINUR
P43355	MAGA1_HUMAN	MAGEA1 MAGE1 MAGE1A
P43356	MAGA2_HUMAN	MAGEA2 MAGE2 MAGEA2A; MAGEA2B MAGE2 MAGEA2
P43357	MAGA3_HUMAN	MAGEA3 MAGE3
P43363	MAGAA_HUMAN	MAGEA10 MAGE10
P43364	MAGAB_HUMAN	MAGEA11 MAGE11
P43403	ZAP70_HUMAN	ZAP70 SRK
P43405	KSYK_HUMAN	SYK
P43487	RANG_HUMAN	RANBP1
P43626	KI2L1_HUMAN	KIR2DL1 CD158A NKAT1
P43657	LPAR6_HUMAN	LPAR6 P2RY5
P43686	PRS6B_HUMAN	PSMC4 MIP224 TBP7
P43694	GATA4_HUMAN	GATA4
P43699	NKX21_HUMAN	NKX2-1 NKX2A TITF1 TTF1
P43897	EFTS_HUMAN	TSFM
P45381	ACY2_HUMAN	ASPA ACY2 ASP
P45844	ABCG1_HUMAN	ABCG1 ABC8 WHT1
P45880	VDAC2_HUMAN	VDAC2
P45954	ACDSB_HUMAN	ACADSB
P45973	CBX5_HUMAN	CBX5 HP1A
P45983	MK08_HUMAN	MAPK8 JNK1 PRKM8 SAPK1 SAPK1C
P46013	KI67_HUMAN	MKI67
P46060	RAGP1_HUMAN	RANGAP1 KIAA1835 SD
P46063	RECQ1_HUMAN	RECQL RECQ1 RECQL1
P46087	NOP2_HUMAN	NOP2 NOL1 NSUN1
P46092	CCR10_HUMAN	CCR10 GPR2
P46109	CRKL_HUMAN	CRKL
P46199	IF2M_HUMAN	MTIF2
P46379	BAG6_HUMAN	BAG6 BAT3 G3
P46439	GSTM5_HUMAN	GSTM5
P46459	NSF_HUMAN	NSF
P46527	CDN1B_HUMAN	CDKN1B KIP1
P46695	IEX1_HUMAN	IER3 DIF2 IEX1 PRG1
P46736	BRCC3_HUMAN	BRCC3 BRCC36 C6.1A CXorf53
P46776	RL27A_HUMAN	RPL27A
P46777	RL5_HUMAN	RPL5 MSTP030
P46781	RS9_HUMAN	RPS9
P46783	RS10_HUMAN	RPS10
P46821	MAP1B_HUMAN	MAP1B
P46934	NEDD4_HUMAN	NEDD4 KIAA0093 NEDD4-1 PIG53
P46937	YAP1_HUMAN	YAP1 YAP65
P46939	UTRO_HUMAN	UTRN DMDL DRP1
P46940	IQGA1_HUMAN	IQGAP1 KIAA0051
P46952	3HAO_HUMAN	HAAO
P47712	PA24A_HUMAN	PLA2G4A CPLA2 PLA2G4
P47736	RPGP1_HUMAN	RAP1GAP KIAA0474 RAP1GA1
P47870	GBRB2_HUMAN	GABRB2
P47895	AL1A3_HUMAN	ALDH1A3 ALDH6
P47897	SYQ_HUMAN	QARS1 QARS
P47928	ID4_HUMAN	ID4 BHLHB27
P47985	UCRI_HUMAN	UQCRFS1
P48023	TNFL6_HUMAN	FASLG APT1LG1 CD95L FASL TNFSF6
P48047	ATPO_HUMAN	ATP5PO ATP5O ATPO
P48051	KCNJ6_HUMAN	KCNJ6 GIRK2 KATP2 KCNJ7
P48147	PPCE_HUMAN	PREP PEP
P48431	SOX2_HUMAN	SOX2
P48436	SOX9_HUMAN	SOX9
P48539	PCP4_HUMAN	PCP4 PEP19
P48552	NRIP1_HUMAN	NRIP1
P48556	PSMD8_HUMAN	PSMD8
P48634	PRC2A_HUMAN	PRRC2A BAT2 G2
P48643	TCPE_HUMAN	CCT5 CCTE KIAA0098
P48728	GCST_HUMAN	AMT GCST
P48729	KC1A_HUMAN	CSNK1A1
P48730	KC1D_HUMAN	CSNK1D HCKID
P48735	IDHP_HUMAN	IDH2
P48736	PK3CG_HUMAN	PIK3CG
P48740	MASP1_HUMAN	MASP1 CRARF CRARF1 PRSS5
P48764	SL9A3_HUMAN	SLC9A3 NHE3
P48788	TNNI2_HUMAN	TNNI2
P48995	TRPC1_HUMAN	TRPC1 TRP1
P49006	MRP_HUMAN	MARCKSL1 MLP MRP
P49023	PAXI_HUMAN	PXN
P49069	CAMLG_HUMAN	CAMLG CAML
P49137	MAPK2_HUMAN	MAPKAPK2
P49184	DNSL1_HUMAN	DNASE1L1 DNAS1L1 DNL1L
P49221	TGM4_HUMAN	TGM4
P49281	NRAM2_HUMAN	SLC11A2 DCT1 DMT1 NRAMP2 OK/SW-cl.20
P49326	FMO5_HUMAN	FMO5
P49327	FAS_HUMAN	FASN FAS
P49336	CDK8_HUMAN	CDK8
P49368	TCPG_HUMAN	CCT3 CCTG TRIC5
P49406	RM19_HUMAN	MRPL19 KIAA0104 MRPL15
P49407	ARRB1_HUMAN	ARRB1 ARR1
P49411	EFTU_HUMAN	TUFM
P49419	AL7A1_HUMAN	ALDH7A1 ATQ1
P49427	UB2R1_HUMAN	CDC34 UBCH3 UBE2R1
P49448	DHE4_HUMAN	GLUD2 GLUDP1
P49450	CENPA_HUMAN	CENPA
P49454	CENPF_HUMAN	CENPF
P49588	SYAC_HUMAN	AARS1 AARS
P49589	SYCC_HUMAN	CARS1 CARS
P49590	SYHM_HUMAN	HARS2 HARSL HARSR HO3
P49591	SYSC_HUMAN	SARS1 SARS SERS
P49593	PPM1F_HUMAN	PPM1F KIAA0015 POPX2
P49662	CASP4_HUMAN	CASP4 ICH2
P49682	CXCR3_HUMAN	CXCR3 GPR9
P49685	GPR15_HUMAN	GPR15
P49703	ARL4D_HUMAN	ARL4D ARF4L
P49711	CTCF_HUMAN	CTCF
P49715	CEBPA_HUMAN	CEBPA CEBP
P49720	PSB3_HUMAN	PSMB3
P49721	PSB2_HUMAN	PSMB2
P49736	MCM2_HUMAN	MCM2 BM28 CCNL1 CDCL1 KIAA0030
P49748	ACADV_HUMAN	ACADVL VLCAD
P49750	YLPM1_HUMAN	YLPM1 C14orf170 ZAP3
P49753	ACOT2_HUMAN	ACOT2 PTE2 PTE2A
P49754	VPS41_HUMAN	VPS41
P49755	TMEDA_HUMAN	TMED10 TMP21
P49758	RGS6_HUMAN	RGS6
P49760	CLK2_HUMAN	CLK2
P49761	CLK3_HUMAN	CLK3
P49768	PSN1_HUMAN	PSEN1 AD3 PS1 PSNL1
P49773	HINT1_HUMAN	HINT1 HINT PKCI1 PRKCNH1
P49789	FHIT_HUMAN	FHIT
P49790	NU153_HUMAN	NUP153
P49796	RGS3_HUMAN	RGS3
P49798	RGS4_HUMAN	RGS4
P49802	RGS7_HUMAN	RGS7
P49810	PSN2_HUMAN	PSEN2 AD4 PS2 PSNL2 STM2
P49815	TSC2_HUMAN	TSC2 TSC4
P49821	NDUV1_HUMAN	NDUFV1 UQOR1
P49841	GSK3B_HUMAN	GSK3B
P49848	TAF6_HUMAN	TAF6 TAF2E TAFII70
P49888	ST1E1_HUMAN	SULT1E1 STE
P49903	SPS1_HUMAN	SEPHS1 SELD SPS SPS1
P49914	MTHFS_HUMAN	MTHFS
P49915	GUAA_HUMAN	GMPS
P49916	DNLI3_HUMAN	LIG3
P49917	DNLI4_HUMAN	LIG4
P49918	CDN1C_HUMAN	CDKN1C KIP2
P50213	IDH3A_HUMAN	IDH3A
P50219	MNX1_HUMAN	MNX1 HLXB9
P50222	MEOX2_HUMAN	MEOX2 GAX MOX2
P50281	MMP14_HUMAN	MMP14
P50402	EMD_HUMAN	EMD EDMD STA
P50416	CPT1A_HUMAN	CPT1A CPT1
P50440	GATM_HUMAN	GATM AGAT
P50452	SPB8_HUMAN	SERPINB8 PI8
P50453	SPB9_HUMAN	SERPINB9 PI9
P50454	SERPH_HUMAN	SERPINH1 CBP1 CBP2 HSP47 SERPINH2 PIG14
P50479	PDLI4_HUMAN	PDLIM4 RIL
P50502	F10A1_HUMAN	ST13 AAG2 FAM10A1 HIP SNC6
P50539	MXI1_HUMAN	MXI1 BHLHC11
P50542	PEX5_HUMAN	PEX5 PXR1
P50548	ERF_HUMAN	ERF
P50552	VASP_HUMAN	VASP
P50553	ASCL1_HUMAN	ASCL1 ASH1 BHLHA46 HASH1
P50570	DYN2_HUMAN	DNM2 DYN2
P50579	MAP2_HUMAN	METAP2 MNPEP P67EIF2
P50607	TUB_HUMAN	TUB
P50613	CDK7_HUMAN	CDK7 CAK CAK1 CDKN7 MO15 STK1
P50747	BPL1_HUMAN	HLCS
P50748	KNTC1_HUMAN	KNTC1 KIAA0166
P50749	RASF2_HUMAN	RASSF2 CENP-34 KIAA0168
P50876	R144A_HUMAN	RNF144A KIAA0161 RNF144 UBCE7IP4
P50897	PPT1_HUMAN	PPT1 CLN1 PPT
P50990	TCPQ_HUMAN	CCT8 C21orf112 CCTQ KIAA0002
P50991	TCPD_HUMAN	CCT4 CCTD SRB
P50993	AT1A2_HUMAN	ATP1A2 KIAA0778
P50995	ANX11_HUMAN	ANXA11 ANX11
P51114	FXR1_HUMAN	FXR1
P51116	FXR2_HUMAN	FXR2 FMR1L2
P51149	RAB7A_HUMAN	RAB7A RAB7
P51151	RAB9A_HUMAN	RAB9A RAB9
P51153	RAB13_HUMAN	RAB13 GIG4
P51159	RB27A_HUMAN	RAB27A RAB27
P51170	SCNNG_HUMAN	SCNN1G
P51172	SCNND_HUMAN	SCNN1D DNACH
P51398	RT29_HUMAN	DAP3 MRPS29
P51449	RORG_HUMAN	RORC NR1F3 RORG RZRG
P51452	DUS3_HUMAN	DUSP3 VHR
P51513	NOVA1_HUMAN	NOVA1
P51530	DNA2_HUMAN	DNA2 DNA2L KIAA0083
P51531	SMCA2_HUMAN	SMARCA2 BAF190B BRM SNF2A SNF2L2
P51532	SMCA4_HUMAN	SMARCA4 BAF190A BRG1 SNF2B SNF2L4
P51553	IDH3G_HUMAN	IDH3G
P51572	BAP31_HUMAN	BCAP31 BAP31 DXS1357E
P51587	BRCA2_HUMAN	BRCA2 FACD FANCD1
P51608	MECP2_HUMAN	MECP2
P51610	HCFC1_HUMAN	HCFC1 HCF1 HFC1
P51617	IRAK1_HUMAN	IRAK1 IRAK
P51636	CAV2_HUMAN	CAV2
P51648	AL3A2_HUMAN	ALDH3A2 ALDH10 FALDH
P51649	SSDH_HUMAN	ALDH5A1 SSADH
P51659	DHB4_HUMAN	HSD17B4 EDH17B4 SDR8C1
P51665	PSMD7_HUMAN	PSMD7 MOV34L
P51688	SPHM_HUMAN	SGSH HSS
P51690	ARSL_HUMAN	ARSL ARSE
P51693	APLP1_HUMAN	APLP1
P51784	UBP11_HUMAN	USP11 UHX1
P51787	KCNQ1_HUMAN	KCNQ1 KCNA8 KCNA9 KVLQT1
P51788	CLCN2_HUMAN	CLCN2
P51790	CLCN3_HUMAN	CLCN3
P51795	CLCN5_HUMAN	CLCN5 CLCK2
P51805	PLXA3_HUMAN	PLXNA3 PLXN4 SEX
P51809	VAMP7_HUMAN	VAMP7 SYBL1
P51810	GP143_HUMAN	GPR143 OA1
P51813	BMX_HUMAN	BMX
P51817	PRKX_HUMAN	PRKX PKX1
P51826	AFF3_HUMAN	AFF3 LAF4
P51843	NR0B1_HUMAN	NR0B1 AHC DAX1
P51857	AK1D1_HUMAN	AKR1D1 SRD5B1
P51948	MAT1_HUMAN	MNAT1 CAP35 MAT1 RNF66
P51955	NEK2_HUMAN	NEK2 NEK2A NLK1
P51957	NEK4_HUMAN	NEK4 STK2
P51965	UB2E1_HUMAN	UBE2E1 UBCH6
P51970	NDUA8_HUMAN	NDUFA8
P51991	ROA3_HUMAN	HNRNPA3 HNRPA3
P52209	6PGD_HUMAN	PGD PGDH
P52292	IMA1_HUMAN	KPNA2 RCH1 SRP1
P52294	IMA5_HUMAN	KPNA1 RCH2
P52298	NCBP2_HUMAN	NCBP2 CBP20 PIG55
P52306	GDS1_HUMAN	RAP1GDS1
P52429	DGKE_HUMAN	DGKE DAGK5
P52434	RPAB3_HUMAN	POLR2H
P52435	RPB11_HUMAN	POLR2J POLR2J1
P52564	MP2K6_HUMAN	MAP2K6 MEK6 MKK6 PRKMK6 SKK3
P52566	GDIR2_HUMAN	ARHGDIB GDIA2 GDID4 RAP1GN1
P52569	CTR2_HUMAN	SLC7A2 ATRC2 CAT2
P52597	HNRPF_HUMAN	HNRNPF HNRPF
P52630	STAT2_HUMAN	STAT2
P52655	TF2AA_HUMAN	GTF2A1 TF2A1
P52701	MSH6_HUMAN	MSH6 GTBP
P52732	KIF11_HUMAN	KIF11 EG5 KNSL1 TRIP5
P52756	RBM5_HUMAN	RBM5 H37 LUCA15
P52758	RIDA_HUMAN	RIDA HRSP12
P52799	EFNB2_HUMAN	EFNB2 EPLG5 HTKL LERK5
P52815	RM12_HUMAN	MRPL12 MRPL7 RPML12
P52824	DGKQ_HUMAN	DGKQ DAGK4
P52926	HMGA2_HUMAN	HMGA2 HMGIC
P52952	NKX25_HUMAN	NKX2-5 CSX NKX2.5 NKX2E
P53004	BIEA_HUMAN	BLVRA BLVR BVR
P53007	TXTP_HUMAN	SLC25A1 SLC20A3
P53041	PPP5_HUMAN	PPP5C PPP5
P53350	PLK1_HUMAN	PLK1 PLK
P53355	DAPK1_HUMAN	DAPK1 DAPK
P53365	ARFP2_HUMAN	ARFIP2 POR1
P53367	ARFP1_HUMAN	ARFIP1
P53384	NUBP1_HUMAN	NUBP1 NBP NBP1
P53396	ACLY_HUMAN	ACLY
P53539	FOSB_HUMAN	FOSB G0S3
P53597	SUCA_HUMAN	SUCLG1
P53602	MVD1_HUMAN	MVD MPD
P53618	COPB_HUMAN	COPB1 COPB MSTP026
P53634	CATC_HUMAN	CTSC CPPI
P53667	LIMK1_HUMAN	LIMK1 LIMK
P53701	CCHL_HUMAN	HCCS CCHL
P53708	ITA8_HUMAN	ITGA8
P53801	PTTG_HUMAN	PTTG1IP C21orf1 C21orf3
P53803	RPAB4_HUMAN	POLR2K
P53804	TTC3_HUMAN	TTC3 DCRR1 RNF105 TPRD
P53985	MOT1_HUMAN	SLC16A1 MCT1
P53990	IST1_HUMAN	IST1 KIAA0174
P53992	SC24C_HUMAN	SEC24C KIAA0079
P53999	TCP4_HUMAN	SUB1 PC4 RPO2TC1
P54105	ICLN_HUMAN	CLNS1A CLCI ICLN
P54132	BLM_HUMAN	BLM RECQ2 RECQL3
P54136	SYRC_HUMAN	RARS1 RARS
P54198	HIRA_HUMAN	HIRA DGCR1 HIR TUPLE1
P54252	ATX3_HUMAN	ATXN3 ATX3 MJD MJD1 SCA3
P54253	ATX1_HUMAN	ATXN1 ATX1 SCA1
P54259	ATN1_HUMAN	ATN1 D12S755E DRPLA
P54274	TERF1_HUMAN	TERF1 PIN2 TRBF1 TRF TRF1
P54277	PMS1_HUMAN	PMS1 PMSL1
P54278	PMS2_HUMAN	PMS2 PMSL2
P54296	MYOM2_HUMAN	MYOM2
P54577	SYYC_HUMAN	YARS1 YARS
P54578	UBP14_HUMAN	USP14 TGT
P54646	AAPK2_HUMAN	PRKAA2 AMPK AMPK2
P54652	HSP72_HUMAN	HSPA2
P54709	AT1B3_HUMAN	ATP1B3
P54725	RD23A_HUMAN	RAD23A
P54727	RD23B_HUMAN	RAD23B
P54756	EPHA5_HUMAN	EPHA5 BSK EHK1 HEK7 TYRO4
P54762	EPHB1_HUMAN	EPHB1 ELK EPHT2 HEK6 NET
P54826	GAS1_HUMAN	GAS1
P54845	NRL_HUMAN	NRL D14S46E
P54849	EMP1_HUMAN	EMP1 B4B TMP
P54851	EMP2_HUMAN	EMP2 XMP
P54852	EMP3_HUMAN	EMP3 YMP
P54868	HMCS2_HUMAN	HMGCS2
P54886	P5CS_HUMAN	ALDH18A1 GSAS P5CS PYCS
P55008	AIF1_HUMAN	AIF1 G1 IBA1
P55010	IF5_HUMAN	EIF5
P55036	PSMD4_HUMAN	PSMD4 MCB1
P55039	DRG2_HUMAN	DRG2
P55055	NR1H2_HUMAN	NR1H2 LXRB NER UNR
P55060	XPO2_HUMAN	CSE1L CAS XPO2
P55061	BI1_HUMAN	TMBIM6 BI1 TEGT
P55072	TERA_HUMAN	VCP
P55081	MFAP1_HUMAN	MFAP1
P55084	ECHB_HUMAN	HADHB MSTP029
P55085	PAR2_HUMAN	F2RL1 GPR11 PAR2
P55087	AQP4_HUMAN	AQP4
P55145	MANF_HUMAN	MANF ARMET ARP
P55157	MTP_HUMAN	MTTP MTP
P55160	NCKPL_HUMAN	NCKAP1L HEM1
P55196	AFAD_HUMAN	AFDN AF6 MLLT4
P55197	AF10_HUMAN	MLLT10 AF10
P55201	BRPF1_HUMAN	BRPF1 BR140
P55210	CASP7_HUMAN	CASP7 MCH3
P55211	CASP9_HUMAN	CASP9 MCH6
P55212	CASP6_HUMAN	CASP6 MCH2
P55263	ADK_HUMAN	ADK
P55265	DSRAD_HUMAN	ADAR ADAR1 DSRAD G1P1 IFI4
P55273	CDN2D_HUMAN	CDKN2D
P55283	CADH4_HUMAN	CDH4
P55290	CAD13_HUMAN	CDH13 CDHH
P55291	CAD15_HUMAN	CDH15 CDH14 CDH3
P55317	FOXA1_HUMAN	FOXA1 HNF3A TCF3A
P55318	FOXA3_HUMAN	FOXA3 HNF3G TCF3G
P55327	TPD52_HUMAN	TPD52
P55345	ANM2_HUMAN	PRMT2 HMT1 HRMT1L1
P55769	NH2L1_HUMAN	SNU13 NHP2L1
P55786	PSA_HUMAN	NPEPPS PSA
P55789	ALR_HUMAN	GFER ALR HERV1 HPO
P55795	HNRH2_HUMAN	HNRNPH2 FTP3 HNRPH2
P55809	SCOT1_HUMAN	OXCT1 OXCT SCOT
P55822	SH3BG_HUMAN	SH3BGR
P55851	UCP2_HUMAN	UCP2 SLC25A8
P55854	SUMO3_HUMAN	SUMO3 SMT3A SMT3H1
P55957	BID_HUMAN	BID
P56134	ATPK_HUMAN	ATP5MF ATP5J2 ATP5JL
P56177	DLX1_HUMAN	DLX1
P56181	NDUV3_HUMAN	NDUFV3
P56182	RRP1_HUMAN	RRP1 D21S2056E NNP1 NOP52 RRP1A
P56192	SYMC_HUMAN	MARS1 MARS
P56277	CMC4_HUMAN	CMC4 C6.1B MTCP1 MTCP1NB
P56377	AP1S2_HUMAN	AP1S2 DC22
P56385	ATP5I_HUMAN	ATP5ME ATP5I ATP5K
P56524	HDAC4_HUMAN	HDAC4 KIAA0288
P56537	IF6_HUMAN	EIF6 EIF3A ITGB4BP OK/SW-cl.27
P56539	CAV3_HUMAN	CAV3
P56545	CTBP2_HUMAN	CTBP2
P56557	TM50B_HUMAN	TMEM50B C21orf4 UNQ167/PRO193
P56559	ARL4C_HUMAN	ARL4C ARL7
P56589	PEX3_HUMAN	PEX3
P56645	PER3_HUMAN	PER3 GIG13
P56693	SOX10_HUMAN	SOX10
P56747	CLD6_HUMAN	CLDN6 UNQ757/PRO1488
P56748	CLD8_HUMAN	CLDN8 UNQ779/PRO1573
P56749	CLD12_HUMAN	CLDN12
P56750	CLD17_HUMAN	CLDN17 UNQ758/PRO1489
P56817	BACE1_HUMAN	BACE1 BACE KIAA1149
P56915	GSC_HUMAN	GSC
P56962	STX17_HUMAN	STX17
P57052	RBM11_HUMAN	RBM11
P57053	H2BFS_HUMAN	H2BS1 H2BFS
P57059	SIK1_HUMAN	SIK1 SIK SNF1LK
P57071	PRD15_HUMAN	PRDM15 C21orf83 ZNF298
P57073	SOX8_HUMAN	SOX8
P57075	UBS3A_HUMAN	UBASH3A STS2
P57076	CF298_HUMAN	CFAP298 C21orf48 C21orf59
P57077	M3KCL_HUMAN	MAP3K7CL C21orf7 TAK1L
P57081	WDR4_HUMAN	WDR4
P57086	SCND1_HUMAN	SCAND1 SDP1
P57088	TMM33_HUMAN	TMEM33 DB83
P57105	SYJ2B_HUMAN	SYNJ2BP OMP25
P57678	GEMI4_HUMAN	GEMIN4
P57721	PCBP3_HUMAN	PCBP3 PCBP3-OT1 PCBP3OT
P57723	PCBP4_HUMAN	PCBP4
P57727	TMPS3_HUMAN	TMPRSS3 ECHOS1 TADG12 UNQ323/PRO382
P57729	RAB38_HUMAN	RAB38
P57796	CABP4_HUMAN	CABP4
P58012	FOXL2_HUMAN	FOXL2
P58215	LOXL3_HUMAN	LOXL3 LOXL
P58340	MLF1_HUMAN	MLF1
P58557	YBEY_HUMAN	YBEY C21orf57
P58753	TIRAP_HUMAN	TIRAP MAL
P58876	H2B1D_HUMAN	H2BC5 H2BFB HIRIP2 HIST1H2BD
P60033	CD81_HUMAN	CD81 TAPA1 TSPAN28
P60174	TPIS_HUMAN	TPI1 TPI
P60201	MYPR_HUMAN	PLP1 PLP
P60228	EIF3E_HUMAN	EIF3E EIF3S6 INT6
P60321	NANO2_HUMAN	NANOS2 NOS2
P60323	NANO3_HUMAN	NANOS3 NOS3
P60468	SC61B_HUMAN	SEC61B
P60484	PTEN_HUMAN	PTEN MMAC1 TEP1
P60510	PP4C_HUMAN	PPP4C PPP4 PPX
P60602	ROMO1_HUMAN	ROMO1 C20orf52
P60604	UB2G2_HUMAN	UBE2G2
P60709	ACTB_HUMAN	ACTB
P60893	GPR85_HUMAN	GPR85 SREB2
P60900	PSA6_HUMAN	PSMA6 PROS27
P60953	CDC42_HUMAN	CDC42
P61006	RAB8A_HUMAN	RAB8A MEL RAB8
P61009	SPCS3_HUMAN	SPCS3 SPC22 UNQ1841/PRO3567
P61011	SRP54_HUMAN	SRP54
P61019	RAB2A_HUMAN	RAB2A RAB2
P61026	RAB10_HUMAN	RAB10
P61073	CXCR4_HUMAN	CXCR4
P61088	UBE2N_HUMAN	UBE2N BLU
P61158	ARP3_HUMAN	ACTR3 ARP3
P61160	ARP2_HUMAN	ACTR2 ARP2
P61163	ACTZ_HUMAN	ACTR1A CTRN1
P61165	TM258_HUMAN	TMEM258 C11orf10 HSPC005
P61218	RPAB2_HUMAN	POLR2F POLRF
P61221	ABCE1_HUMAN	ABCE1 RLI RNASEL1 RNASELI RNS4I OK/SW-cl.40
P61224	RAP1B_HUMAN	RAP1B OK/SW-cl.11
P61225	RAP2B_HUMAN	RAP2B
P61244	MAX_HUMAN	MAX BHLHD4
P61247	RS3A_HUMAN	RPS3A FTE1 MFTL
P61254	RL26_HUMAN	RPL26
P61266	STX1B_HUMAN	STX1B STX1B1 STX1B2
P61289	PSME3_HUMAN	PSME3
P61313	RL15_HUMAN	RPL15 EC45 TCBAP0781
P61326	MGN_HUMAN	MAGOH MAGOHA
P61328	FGF12_HUMAN	FGF12 FGF12B FHF1
P61353	RL27_HUMAN	RPL27
P61457	PHS_HUMAN	PCBD1 DCOH PCBD
P61513	RL37A_HUMAN	RPL37A
P61586	RHOA_HUMAN	RHOA ARH12 ARHA RHO12
P61599	NAA20_HUMAN	NAA20 NAT5
P61604	CH10_HUMAN	HSPE1
P61758	PFD3_HUMAN	VBP1 PFDN3
P61764	STXB1_HUMAN	STXBP1 UNC18A
P61769	B2MG_HUMAN	B2M CDABP0092 HDCMA22P
P61916	NPC2_HUMAN	NPC2 HE1
P61956	SUMO2_HUMAN	SUMO2 SMT3B SMT3H2
P61960	UFM1_HUMAN	UFM1 C13orf20 BM-002
P61962	DCAF7_HUMAN	DCAF7 HAN11 WDR68
P61964	WDR5_HUMAN	WDR5 BIG3
P61966	AP1S1_HUMAN	AP1S1 AP19 CLAPS1
P61970	NTF2_HUMAN	NUTF2 NTF2
P62072	TIM10_HUMAN	TIMM10 TIM10
P62079	TSN5_HUMAN	TSPAN5 TM4SF9
P62081	RS7_HUMAN	RPS7
P62136	PP1A_HUMAN	PPP1CA PPP1A
P62140	PP1B_HUMAN	PPP1CB
P62166	NCS1_HUMAN	NCS1 FLUP FREQ
P62191	PRS4_HUMAN	PSMC1
P62195	PRS8_HUMAN	PSMC5 SUG1
P62241	RS8_HUMAN	RPS8 OK/SW-cl.83
P62258	1433E_HUMAN	YWHAE
P62263	RS14_HUMAN	RPS14 PRO2640
P62266	RS23_HUMAN	RPS23
P62269	RS18_HUMAN	RPS18 D6S218E
P62277	RS13_HUMAN	RPS13
P62280	RS11_HUMAN	RPS11
P62304	RUXE_HUMAN	SNRPE
P62306	RUXF_HUMAN	SNRPF PBSCF
P62308	RUXG_HUMAN	SNRPG PBSCG
P62310	LSM3_HUMAN	LSM3 MDS017
P62312	LSM6_HUMAN	LSM6
P62314	SMD1_HUMAN	SNRPD1
P62316	SMD2_HUMAN	SNRPD2 SNRPD1
P62318	SMD3_HUMAN	SNRPD3
P62324	BTG1_HUMAN	BTG1
P62328	TYB4_HUMAN	TMSB4X TB4X THYB4 TMSB4
P62330	ARF6_HUMAN	ARF6
P62333	PRS10_HUMAN	PSMC6 SUG2
P62424	RL7A_HUMAN	RPL7A SURF-3 SURF3
P62487	RPB7_HUMAN	POLR2G RPB7
P62491	RB11A_HUMAN	RAB11A RAB11
P62745	RHOB_HUMAN	RHOB ARH6 ARHB
P62750	RL23A_HUMAN	RPL23A
P62753	RS6_HUMAN	RPS6 OK/SW-cl.2
P62805	H4_HUMAN	H4C1 H4/A H4FA HIST1H4A; H4C2 H4/I H4FI HIST1H4B; H4C3 H4/G H4FG HIST1H4C; H4C4 H4/B H4FB HIST1H4D; H4C5 H4/J H4FJ HIST1H4E; H4C6 H4/C H4FC HIST1H4F; H4C8 H4/H H4FH HIST1H4H; H4C9 H4/M H4FM HIST1H4I; H4C11 H4/E H4FE HIST1H4J; H4C12 H4/D H4FD HIST1H4K; H4C13 H4/K H4FK HIST1H4L; H4C14 H4/N H4F2 H4FN HIST2H4 HIST2H4A; H4C15 H4/O H4FO HIST2H4B; H4-16 HIST4H4
P62807	H2B1C_HUMAN	H2BC4 H2BFL HIST1H2BC; H2BC6 H2BFH HIST1H2BE; H2BC7 H2BFG HIST1H2BF; H2BC8 H2BFA HIST1H2BG; H2BC10 H2BFK HIST1H2BI
P62820	RAB1A_HUMAN	RAB1A RAB1
P62826	RAN_HUMAN	RAN ARA24 OK/SW-cl.81
P62829	RL23_HUMAN	RPL23
P62847	RS24_HUMAN	RPS24
P62851	RS25_HUMAN	RPS25
P62875	RPAB5_HUMAN	POLR2L
P62888	RL30_HUMAN	RPL30
P62906	RL10A_HUMAN	RPL10A NEDD6
P62913	RL11_HUMAN	RPL11
P62937	PPIA_HUMAN	PPIA CYPA
P62942	FKB1A_HUMAN	FKBP1A FKBP1 FKBP12
P62979	RS27A_HUMAN	RPS27A UBA80 UBCEP1
P62987	RL40_HUMAN	UBA52 UBCEP2
P62993	GRB2_HUMAN	GRB2 ASH
P62995	TRA2B_HUMAN	TRA2B SFRS10
P63000	RAC1_HUMAN	RAC1 TC25 MIG5
P63092	GNAS2_HUMAN	GNAS GNAS1 GSP
P63096	GNAI1_HUMAN	GNAI1
P63104	1433Z_HUMAN	YWHAZ
